Archivo de Audio,Transcripcion
recording_1.wav,Esto es una prueba de grabacion.
recording_2.wav,El sol brilla en el cielo.
recording_3.wav,Aprender Python es divertido.
recording_1.wav,Esto es una prueba de grabación.
recording_2.wav,El sol brilla en el cielo.
recording_3.wav,Aprender Python es divertido.
recording_4.wav,La lluvia es relajante.
recording_5.wav,Los pájaros cantan al amanecer.
recording_6.wav,La lectura es una excelente forma de aprender.
recording_7.wav,Me encanta hacer ejercicio por la mañana.
recording_8.wav,Las flores en el jardín están floreciendo.
recording_9.wav,El océano es vasto y misterioso.
recording_10.wav,Viajar es una forma maravillosa de conocer nuevas culturas.
recording_11.wav,El café es mi bebida favorita para empezar el día.
recording_12.wav,Las ciudades grandes tienen una vida vibrante y dinámica.
recording_13.wav,La programación puede ser un desafío pero también muy gratificante.
recording_14.wav,El arte tiene muchas formas y es una expresión única de la humanidad.
recording_15.wav,Disfrutar de una película con amigos es una excelente manera de relajarse.
recording_16.wav,La cocina es una forma creativa de experimentar con sabores y técnicas.
recording_17.wav,Los deportes son una excelente manera de mantenerse activo y saludable.
recording_18.wav,La ciencia ficción ofrece una visión fascinante del futuro y la tecnología.
recording_19.wav,Los viajes en carretera pueden llevarte a lugares sorprendentes y hermosos.
recording_20.wav,Escuchar música puede mejorar tu estado de ánimo y aumentar la productividad.

